start_date;maxtemperature;maxrh;meantemperature;meanrh;mintemperature;minrh;location
13/09/2021;28,617;97,29003906;24,891;87,50813802;20,579;74,21875;2
14/09/2021;28,196;91,6015625;25,62533333;85,49804688;23,785;73,97460938;2
15/09/2021;29,439;92,16308594;25,91266667;81,14420573;23,016;65,64941406;2
16/09/2021;24,944;100;21,64533333;90,12858073;19,008;77,75878906;2
17/09/2021;26,182;100;22,09933333;88,36263021;18,105;74,90234375;2
18/09/2021;24,171;89,6484375;21,094;82,73925781;18,842;72,87597656;2
19/09/2021;24,823;90,11230469;20,50266667;75,9765625;17,153;51,63574219;2
20/09/2021;22,585;96,75292969;18,66166667;80,37109375;15,652;64,01367188;2
21/09/2021;22,13;91,74804688;18,20666667;71,32161458;14,385;52,80761719;2
22/09/2021;23,328;75,85449219;19,52066667;69,10807292;16,654;56,61621094;2
23/09/2021;24,847;85,64453125;20,26466667;74,68261719;16,534;61,40136719;2
24/09/2021;23,954;84,74121094;20,745;78,6702474;16,82;69,26269531;2
25/09/2021;25,939;97,94921875;23,075;89,94954427;20,246;82,47070313;2
26/09/2021;24,847;93,11523438;21,79533333;83,53678385;19,912;70,45898438;2
27/09/2021;27,284;91,43066406;20,87866667;80,1188151;16,463;61,86523438;2
28/09/2021;25,817;87,5;21,36666667;78,7109375;16,32;66,52832031;2
29/09/2021;24,098;90,96679688;20,23733333;77,22981771;17,534;63,23242188;2
30/09/2021;23,761;97,53417969;20,31533333;84,01692708;17,677;68,33496094;2
01/10/2021;22,369;92,60253906;19,85933333;86,19791667;17,701;74,58496094;2
02/10/2021;24,605;93,28613281;21,07433333;83,18684896;16,177;71,31347656;2
03/10/2021;26,012;85,08300781;22,86833333;77,03450521;19,984;70,8984375;2
04/10/2021;16,773;96,2890625;14,693;94,9625651;13,064;93,60351563;2
05/10/2021;22,441;93,99414063;17,17166667;75,71614583;11,54;56,00585938;2
06/10/2021;20,865;83,81347656;17,98566667;74,08854167;16,153;65,40527344;2
07/10/2021;22,274;70,77636719;17,62733333;65,39713542;13,954;58,05664063;2
08/10/2021;20,722;84,22851563;17,14933333;71,20768229;13,906;60,76660156;2
09/10/2021;20,246;85,30273438;18,168;73,91764323;16,272;62,47558594;2
